6.806768353677190002e-09,0.000000000000000000e+00
6.806769175081630116e-09,1.576185226440429688e-03
6.806769175081630116e-09,1.553320884704589844e-02
6.806769513773143984e-09,2.110075950622558594e-02
6.806769513773143984e-09,6.743168830871582031e-02
6.806770015404667739e-09,7.074928283691406250e-02
6.806770015404667739e-09,8.527708053588867188e-02
6.806770338622063431e-09,8.947420120239257812e-02
6.806770338622063431e-09,1.367063522338867188e-01
6.806770931497030919e-09,1.395888328552246094e-01
6.806771201355897118e-09,1.482586860656738281e-01
6.806771201355897118e-09,1.604304313659667969e-01
6.806771528449477704e-09,2.099587917327880859e-01
6.806772105850609911e-09,2.118110656738281250e-01
6.806772105850609911e-09,2.225418090820312500e-01
2.748462496021063014e-05,2.310061454772949219e-01
2.748462496021063014e-05,2.735021114349365234e-01
5.325531088188610894e-05,2.755966186523437500e-01
5.325531088188610894e-05,2.875149250030517578e-01
7.866938146506853276e-05,2.983579635620117188e-01
7.866938146506853276e-05,3.332583904266357422e-01
1.497985449544308155e-04,3.393731117248535156e-01
1.497985449544308155e-04,3.416249752044677734e-01
1.497985449544308155e-04,3.518567085266113281e-01
1.731540001736857619e-04,3.865368366241455078e-01
2.120529168090336475e-04,3.887419700622558594e-01
2.457761040737152080e-04,4.028353691101074219e-01
2.457761040737152080e-04,4.139328002929687500e-01
2.708209120354335164e-04,4.615080356597900391e-01
3.506176044201837240e-04,4.675512313842773438e-01
3.506176044201837240e-04,4.717221260070800781e-01
3.800648421023085648e-04,4.843516349792480469e-01
3.800648421023085648e-04,5.291533470153808594e-01
4.559264987270016437e-04,5.351817607879638672e-01
4.559264987270016437e-04,5.408029556274414062e-01
4.859781074627623500e-04,5.524809360504150391e-01
4.859781074627623500e-04,5.949516296386718750e-01
5.611133506175788269e-04,5.990512371063232422e-01
5.611133506175788269e-04,6.071622371673583984e-01
5.875270720436649935e-04,6.215906143188476562e-01
5.875270720436649935e-04,6.596760749816894531e-01
6.562795506406347151e-04,6.626613140106201172e-01
6.852927887937826758e-04,6.730647087097167969e-01
6.852927887937826758e-04,6.851160526275634766e-01
7.129031788478575049e-04,7.241055965423583984e-01
7.516056461921215379e-04,7.305307388305664062e-01
